id_cliente,nombre,genero,fecha_registro,gasto_q,ciudad,categoria
502609,Paola Morales,M,2026-02-27,251.8,Antigua,Retail
500588,Ana Diaz,F,2026-02-24,371.8,Villa Nueva,Services
502408,Maria Paz,M,2026-01-15,373.33,Quetzaltenango,Retail
501688,Ana Mejia,F,2026-01-18,361.23,Quetzaltenango,Education
502916,Carlos  Mendez,F,2026-01-29,339.01,Amatitlan,Retail
504200,Oscar Rojas,M,2026-01-09,138.22,Antigua,Retail
502029,Isabel Ramirez,M,2026-02-05,166.31,Villa Nueva,Services
501366,Pedro  Herrera,M,2026-02-12,405.62,Amatitlan,Education
502614,Patricia Soto,F,2026-01-11,222.88,Guatemala,Retail
502794,Pablo Perez,M,2026-02-06,287.37,Escuintla,Retail
504410,Paola Herrera,F,2026-01-05,400.01,Antigua,Education
500921,Monica Lopez,F,2026-02-16,69.85,Quetzaltenango,Food
500344,Ana Soto,F,2026-01-02,251.8,Guatemala,Education
503170,Laura Mendez,M,2026-01-08,251.8,Guatemala,Education
502929,Daniel  Morales,M,2026-01-12,237.93,Antigua,Food
503768,Karla Vargas,M,2026-01-16,364.37,Escuintla,Food
501480,Carmen Gomez,M,2026-01-08,491.09,Quetzaltenango,Services
503393,Daniel Flores,M,2026-02-06,189.82,Escuintla,Education
501479,Paola  Fuentes,M,2026-01-03,126.41,Antigua,Retail
503665,Carmen Soto,M,2026-01-06,251.8,Antigua,Food
504232,Elena Perez,F,2026-01-28,204.59,Villa Nueva,Services
502530,Carlos Fuentes,M,2026-01-28,318.53,Escuintla,Food
500837,Oscar Fuentes,F,2026-02-05,315.81,Villa Nueva,Food
504238,Maria Morales,F,2026-01-04,251.82,Guatemala,Services
500464,Elena Vargas,M,2026-01-27,487.93,Amatitlan,Services
504241,Karla Rojas,F,2026-01-25,376.15,Antigua,Retail
501040,Gustavo Nunez,F,2026-02-25,251.8,Escuintla,Retail
501552,Pedro  Mejia,F,2026-02-24,23.85,Chimaltenango,Retail
501126,Sofia Mendez,M,2026-02-27,323.34,Mixco,Services
504376,Carmen Solis,F,2026-01-29,69.32,Chimaltenango,Food
501851,Elena Soto,F,2026-02-09,214.5,Mixco,Services
504281,Carmen Fuentes,F,2026-01-10,245.81,Mixco,Food
501098,Karla Rojas,M,2026-01-07,326.83,Chimaltenango,Services
504347,Patricia Morales,F,2026-02-01,283.68,Quetzaltenango,Services
504260,Fernando Ramirez,M,2026-01-20,6.67,Amatitlan,Education
501419,Elena Vargas,F,2026-02-12,179.13,Villa Nueva,Food
503884,Laura Cruz,M,2026-02-08,251.8,Villa Nueva,Services
502586,Karla Perez,M,2026-01-15,251.8,Amatitlan,Retail
503375,Carlos Castillo,M,2026-01-14,153.61,Amatitlan,Food
501054,Gabriela Paz,F,2026-01-27,98.61,Guatemala,Services
503880,Laura Fuentes,F,2026-01-01,363.38,Villa Nueva,Education
502476,Oscar Morales,F,2026-01-21,251.8,Amatitlan,Food
500015,Andrea Ortega,M,2026-02-02,224.61,Guatemala,Services
503627,Karla Lopez,M,2026-01-19,212.04,Desconocida,Education
501372,Andrea Dominguez,M,2026-01-20,206.01,Escuintla,Services
503319,Pablo Herrera,M,2026-01-16,67.35,Mixco,Retail
503195,Kevin Rojas,F,2026-02-14,28.25,Quetzaltenango,Retail
502898,Sofia Cruz,M,2026-02-19,274.08,Desconocida,Food
504162,Karla Lima,F,2026-01-27,444.86,Amatitlan,Services
503479,Maria Alvarez,M,2026-01-21,83.58,Quetzaltenango,Services
